action_id,action_name,std_dur_s,user_type
0,screw_in,14.2430555555556,human
1,screw_out,15,human
2,allen_in,13.8958333333333,human
3,allen_out,15,human
4,bring_side_1,15,robot
5,bring_side_2,16,robot
6,bring_side_3,18,robot
7,bring_side_4,19,robot
8,take_box,1,robot
9,null,0,human
10,stack_red_small_block,25,robot
11,stack_blue_small_block,25,robot
12,stack_yellow_small_block,25,robot
13,stack_green_small_block,25,robot
14,stack_orange_small_block,25,robot
15,remove_stack,26,robot
16,home,5,robot
17,deliver_box,0,robot
18,hand_screw_in,16.6354166666667,human
19,hand_screw_out,3,human
20,hammer,11.53125,human
21,bring_hand_screw_parts,15,robot
22,bring_seat_top,24,robot
23,bring_back_frame,24,robot
24,bring_back_slats,24,robot
25,bring_legs,15,robot
26,take_chair,1,robot
27,deliver_chair,0,robot
